year,prop
1880,0.000285739405662
1880,0.0463933387637
1881,0.000326253629572
1881,0.0462960205672
1882,0.000296713893628
1882,0.0456784476541
1883,0.000195872433626
1883,0.0452655624265
1884,0.000310029452798
1884,0.0433490908138
1885,0.000217954981023
1885,0.0433584727131
1886,0.000262913916449
1886,0.0421627476644
1887,0.000232907022147
1887,0.0422422718533
1888,0.000201540666428
1888,0.0406454282168
1889,0.000235470885707
1889,0.0400607693838
1890,0.000194352229273
1890,0.040153118667
1891,0.000124001250795
1891,0.0388465605328
1892,0.000188376243872
1892,0.0390048838048
1893,0.000117423263897
1893,0.0384625657737
1894,0.00014354796745
1894,0.0377040684115
1895,0.000196894207886
1895,0.0365344645473
1896,0.000134500121891
1896,0.0358457112271
1897,0.000111016225448
1897,0.0361659483141
1898,0.000197086215558
1898,0.0395546535606
1899,0.000141616921935
1899,0.0378300003766
1900,0.000130077179126
1900,0.0359027177886
1901,0.000112806928852
1901,0.0338971907316
1902,0.00012117769573
1902,0.0344287822337
1903,0.000103064449636
1903,0.0332206687746
1904,9.44180759775e-05
1904,0.0329287804878
1905,0.00010973071397
1905,0.0321649359875
1906,0.000101590225666
1906,0.0315492238485
1907,0.000138119379091
1907,0.0302731049513
1908,0.00012263882865
1908,0.0297000835801
1909,0.000106556999355
1909,0.0285855401557
1910,0.000146278842783
1910,0.0280151995716
1911,0.000121920899633
1911,0.0291458487301
1912,0.000123630877618
1912,0.0272917994353
1913,0.000123291531633
1913,0.0270662051904
1914,0.000140500892246
1914,0.0268844957878
1915,0.000141277965923
1915,0.026287910837
1916,0.000129269731349
1916,0.0262657356799
1917,0.000128550157682
1917,0.0261445606089
1918,0.000135619456987
1918,0.0259688492208
1919,0.000145115534972
1919,0.0256831442951
1920,0.000138531086459
1920,0.0252619909906
1921,0.0001670696072
1921,0.0249435515281
1922,0.000164036667608
1922,0.0251312614515
1923,0.00014755547008
1923,0.024658201566
1924,0.000157738557549
1924,0.024162457879
1925,0.000170039388351
1925,0.0238038912068
1926,0.000194035516936
1926,0.0233224915265
1927,0.000207992619617
1927,0.0230303589669
1928,0.000199455400038
1928,0.0220316701308
1929,0.000180031384576
1929,0.0214023485302
1930,0.000214955006009
1930,0.020755105612
1931,0.00016063095086
1931,0.0198971751554
1932,0.000163071135566
1932,0.0195778458143
1933,0.000144877489214
1933,0.0185219001115
1934,0.00015324731051
1934,0.0179148834767
1935,0.000146881533367
1935,0.0178234694574
1936,0.000122086858551
1936,0.0175427599953
1937,0.000135353738536
1937,0.0172818481984
1938,0.000127797032934
1938,0.0166248827646
1939,0.000130409129004
1939,0.0161627735703
1940,0.00011282565288
1940,0.0157962902403
1941,9.4375392196e-05
1941,0.0156822699471
1942,0.000110323707528
1942,0.0154039796873
1943,0.000107518018228
1943,0.0151908882703
1944,9.64488730552e-05
1944,0.0149845113081
1945,9.79330015853e-05
1945,0.0143565239362
1946,7.57378553712e-05
1946,0.0132836287851
1947,6.76952585113e-05
1947,0.0130739034151
1948,7.71582669193e-05
1948,0.0124923194778
1949,6.37116911538e-05
1949,0.012018577548
1950,6.53651988678e-05
1950,0.0112672581349
1951,6.05458345854e-05
1951,0.0107428538632
1952,5.93163307565e-05
1952,0.0101901279181
1953,5.42291276341e-05
1953,0.00972434169941
1954,5.30481574263e-05
1954,0.0091695030466
1955,5.52508233907e-05
1955,0.00882200740026
1956,0.00815371274236
1957,0.00782125133528
1958,0.00737348309139
1959,0.0070338531426
1960,0.0065924090707
1961,0.00642417252738
1962,0.00607022005816
1963,0.00594808603044
1964,0.00591816903479
1965,0.00574198563751
1966,0.00557121332383
1967,0.00556374952924
1968,0.00540023312262
1969,0.00514161799488
1970,0.00479929793127
1971,0.00465101294755
1972,0.00441476617269
1973,0.00423620124457
1974,0.00399378335171
1975,0.0037393634249
1976,0.00354399419101
1977,0.00340856137175
1978,0.00322274639123
1979,0.0030520804783
1980,0.00296902394949
1981,0.00287923461603
1982,0.00274940456209
1983,0.00250563069347
1984,0.00236364291475
1985,0.0023029063501
1986,0.00235933766839
1987,0.00219047659883
1988,0.00224439606768
1989,0.00225540752829
1990,0.00222345422676
1991,0.00206930052295
1992,0.00194941928142
1993,0.00179088246486
1994,0.00171800220886
1995,0.00172677355567
1996,0.00170420818485
1997,0.00168495439213
1998,0.00159336356746
1999,0.00158469273324
2000,0.00154645268721
2001,0.00158905862313
2002,0.00155416376711
2003,0.00147445394536
2004,0.0013787121598
2005,0.0014149560301
2006,0.00131488435448
2007,0.00133027423336
2008,0.00125248557751
2009,0.0012020839489
2010,0.00123679313329
